gene_names,cms_score,
LINC01915,18.2509,
CMA1,18.0335,
CTSG,18.0335,
GZMB,18.0335,
GZMH,18.0335,
LOC101927045,18.0335,
LINC02478,17.9315,
LINC01179,17.892,
LOC101928131,17.892,
LINC01234,17.8291,
RBM19,17.8291,
KIAA0391,17.7992,
BCL9L,17.7678,
CXCR5,17.7678,
FOXR1,17.7678,
MIR4492,17.7678,
UPK2,17.7678,
CROCCP3,17.6607,
FBXO42,17.6607,
LINC01772,17.6607,
NECAP2,17.6607,
SPATA21,17.6607,
SZRD1,17.6607,
LOC105371083,17.6402,
PRM1,17.6402,
PRM2,17.6402,
PRM3,17.6402,
RMI2,17.6402,
SOCS1,17.6402,
TNP2,17.6402,
RPAP3,17.6151,
CMKLR1,17.6139,
WSCD2,17.6139,
LINC02304,17.5619,
CBLN3,17.5597,
KHNYN,17.5597,
NFATC4,17.5597,
NYNRIN,17.5597,
SDR39U1,17.5597,
CIITA,17.3161,
CLEC16A,17.3161,
DEXI,17.3161,
TVP23A,17.3161,
MDFIC2,17.2701,
MEGF11,17.2501,
MIR4311,17.2501,
MROH9,17.1875,
PTPRT,17.1105,
LINC00670,17.1036,
AP1S1,16.949,
CLDN15,16.949,
FIS1,16.949,
MIR4653,16.949,
MOGAT3,16.949,
NAT16,16.949,
PLOD3,16.949,
VGF,16.949,
ZNHIT1,16.949,
IRAK3,16.9337,
LLPH,16.9337,
LLPH-DT,16.9337,
MIR6502,16.9337,
TMBIM4,16.9337,
LOC101927854,16.9326,
THRB,16.9326,
ACIN1,16.8293,
AJUBA,16.8293,
C14orf119,16.8293,
C14orf93,16.8293,
CDH24,16.8293,
CEBPE,16.8293,
HAUS4,16.8293,
LMLN2,16.8293,
LOC101926933,16.8293,
MIR4707,16.8293,
PSMB11,16.8293,
PSMB5,16.8293,
SLC7A8,16.8293,
ITSN2,16.812,
NCOA1,16.812,
DNAJB6,16.8057,
UBE3C,16.8057,
LINC01781,16.7143,
COQ5,16.7038,
COX6A1,16.7038,
DYNLL1,16.7038,
GATC,16.7038,
MSI1,16.7038,
NRAV,16.7038,
PLA2G1B,16.7038,
SRSF9,16.7038,
TRIAP1,16.7038,
HSPA5,16.6481,
LOC105376271,16.6481,
PPP6C,16.6481,
RABEPK,16.6481,
SCAI,16.6481,
LOC101928807,16.6348,
B3GNTL1,16.5981,
TBCD,16.5981,
RARB,16.5431,
FRMD4B,16.5178,
C8orf49,16.4462,
CTSB,16.4462,
FDFT1,16.4462,
GATA4,16.4462,
NEIL2,16.4462,
NOC3L,16.3721,
PLCE1,16.3721,
PLCE1-AS1,16.3721,
TBC1D12,16.3721,
MNAT1,16.3601,
SLC38A6,16.3601,
TRMT5,16.3601,
ADAMTS13,16.3146,
ADAMTSL2,16.3146,
CACFD1,16.3146,
FAM163B,16.3146,
MYMK,16.3146,
SLC2A6,16.3146,
CBS,16.3117,
CBSL,16.3117,
CRYAA,16.3117,
CRYAA2,16.3117,
FRGCA,16.3117,
LOC106780825,16.3117,
PKNOX1,16.3117,
U2AF1,16.3117,
U2AF1L5,16.3117,
ENDOU,16.2411,
HDAC7,16.2411,
RAPGEF3,16.2411,
SLC48A1,16.2411,
VDR,16.2411,
APLP2,16.186,
LOC646383,16.186,
ST14,16.186,
ZBTB44,16.186,
MIR1205,16.08,
MIR1206,16.08,
MIR1207,16.08,
PVT1,16.08,
TMEM75,16.08,
SAMD12,16.0635,
LINC02459,16.0403,
TBX5,16.0403,
TBX5-AS1,16.0403,
DISP3,15.992,
FBXO2,15.992,
FBXO44,15.992,
FBXO6,15.992,
LINC01647,15.992,
MAD2L2,15.992,
FLJ31356,15.9167,
FOSL2,15.9167,
PLB1,15.9167,
MEIS2,15.9107,
MIR8063,15.9107,
ADAM21P1,15.8456,
LOC646548,15.8456,
SLC8A3,15.8456,
EYS,15.8369,
PRRX1,15.7613,
DENND3,15.7466,
GPR20,15.7466,
LINC01300,15.7466,
LOC105375787,15.7466,
SLC45A4,15.7466,
DKK3,15.7466,
LINC02547,15.7466,
USP47,15.7466,
FKBP9,15.7131,
KBTBD2,15.7131,
NT5C3A,15.7131,
RP9P,15.7131,
BCAR1,15.7037,
CTRB1,15.7037,
CTRB2,15.7037,
LDHD,15.7037,
LOC100506281,15.7037,
ZFP1,15.7037,
ZNRF1,15.7037,
LINC02024,15.6929,
DLG5,15.6881,
DLG5-AS1,15.6881,
POLR3A,15.6881,
RPS24,15.6881,
MITF,15.6522,
LOC102724084,15.6041,
COG7,15.6002,
SCNN1B,15.6002,
IQGAP2,15.597,
ACSM2A,15.5914,
ACSM5,15.5914,
GP2,15.5914,
PDILT,15.5914,
UMOD,15.5914,
LRIG1,15.5208,
SLC25A26,15.5208,
CAPRIN2,15.5195,
LINC00941,15.5195,
LOC645485,15.5195,
SMAD5,15.4981,
SMAD5-AS1,15.4981,
SMIM32,15.4981,
TGFBI,15.4981,
TRPC7,15.4981,
TRPC7-AS2,15.4981,
VTRNA2-1,15.4981,
RYR3,15.4806,
LINC02497,15.4521,
ZNF280D,15.4252,
EGFEM1P,15.382,
GCLC,15.3328,
LOC101927136,15.3328,
DYRK1B,15.3129,
FBL,15.3129,
FCGBP,15.3129,
MIR6719,15.3129,
PSMC4,15.3129,
ZNF546,15.3129,
MROH5,15.2935,
GLIPR1,15.2934,
KRR1,15.2934,
LRP2,15.2813,
CARD10,15.2624,
ELOVL5,15.2515,
GCM1,15.2515,
MIR5685,15.2515,
RPS16P5,15.2515,
GBP1P1,15.2512,
GBP5,15.2512,
GBP6,15.2512,
LOC729930,15.2512,
C20orf96,15.2435,
DEFB128,15.2435,
DEFB129,15.2435,
DEFB132,15.2435,
NRSN2,15.2435,
NRSN2-AS1,15.2435,
SOX12,15.2435,
ZCCHC3,15.2435,
C1orf94,15.2289,
BCL2L11,15.1878,
MIR4435-1,15.1878,
MIR4435-2,15.1878,
MIR4435-2HG,15.1878,
ADGRL4,15.1617,
LHFPL6,15.1563,
MIR6841,15.1488,
NEFL,15.1488,
NEFM,15.1488,
ME2,15.1476,
MRO,15.1476,
PRKG1,15.1229,
STK33,15.1099,
TRIM66,15.1099,
LINC00599,15.0989,
MIR124-1,15.0989,
MSRA,15.0989,
DBX2,15.0986,
PLEKHA8P1,15.0986,
RACGAP1P,15.0986,
RNY5,15.0986,
MYO3B,15.0943,
UBR3,15.0943,
APOBR,15.073,
CLN3,15.073,
IL27,15.073,
NPIPB8,15.073,
NUPR1,15.073,
SGF29,15.073,
SULT1A1,15.073,
SULT1A2,15.073,
FOXK1,15.0658,
ATP10B,15.0638,
LINC02159,15.0638,
FAM177A1,15.0587,
IGBP1P1,15.0587,
LOC101927178,15.0587,
PPP2R3C,15.0587,
SRP54,15.0587,
SRP54-AS1,15.0587,
TRIM42,15.0443,
TEAD4,15.0443,
TSPAN9,15.0443,
ATOH7,15.0421,
HERC4,15.0421,
MYPN,15.0421,
ICA1,15.0321,
LOC100505938,15.0321,
ESPN,14.9849,
HES2,14.9849,
KLHL21,14.9849,
MIR4252,14.9849,
NOL9,14.9849,
PLEKHG5,14.9849,
TAS1R1,14.9849,
TNFRSF25,14.9849,
ZBTB48,14.9849,
NRP1,14.9615,
BRPF3,14.9353,
C6orf222,14.9353,
ETV7,14.9353,
PNPLA1,14.9353,
PXT1,14.9353,
FAM19A1,14.911,
LOC105377146,14.911,
ARGFX,14.8859,
FBXO40,14.8859,
GOLGB1,14.8859,
HCLS1,14.8859,
POLQ,14.8859,
LINC01307,14.8854,
LOC101928370,14.8854,
S1PR1,14.8854,
LOC105377143,14.8421,
DPYSL4,14.842,
JAKMIP3,14.842,
LRRC27,14.842,
STK32C,14.842,
CHADL,14.8408,
EP300,14.8408,
EP300-AS1,14.8408,
L3MBTL2,14.8408,
LOC100506544,14.8408,
MIR6889,14.8408,
RANGAP1,14.8408,
ZC3H7B,14.8408,
LINC00518,14.752,
MIR5689,14.752,
MIR5689HG,14.752,
TFAP2A,14.752,
TFAP2A-AS1,14.752,
TFAP2A-AS2,14.752,
HNRNPKP3,14.7262,
C16orf74,14.7133,
COX4I1,14.7133,
EMC8,14.7133,
GINS2,14.7133,
GSE1,14.7133,
LOC101928557,14.7133,
MIR1910,14.7133,
ARCN1,14.6942,
IFT46,14.6942,
KMT2A,14.6942,
LOC101929089,14.6942,
MIR6716,14.6942,
PHLDB1,14.6942,
TMEM25,14.6942,
TREH,14.6942,
TTC36,14.6942,
CMYA5,14.6114,
ENTPD7,14.5887,
LINC01475,14.5887,
NKX2-3,14.5887,
SLC25A28,14.5887,
IPCEF1,14.5801,
OPRM1,14.5801,
NLRP13,14.568,
NLRP4,14.568,
NLRP5,14.568,
NLRP8,14.568,
RTL6,14.5569,
FMN1,14.5327,
ATP2B2,14.4737,
MIR885,14.4737,
CYP19A1,14.4676,
DMXL2,14.4676,
GLDN,14.4676,
MIR4713HG,14.4676,
MIR7973-1,14.4676,
MIR7973-2,14.4676,
FICD,14.4643,
LINC01498,14.4643,
SART3,14.4643,
KIAA1217,14.4301,
MIR603,14.4301,
COX7A2L,14.4262,
EML4,14.4262,
KCNG3,14.4262,
LINC01991,14.425,
ABI3BP,14.4181,
ANKRD20A11P,14.3919,
CYP4F29P,14.3919,
LOC110091776,14.3919,
LOC100507642,14.3688,
LOC102723672,14.3688,
LOC105375115,14.3688,
ATF6,14.3599,
DUSP12,14.3599,
FCGR2B,14.3599,
FCGR3B,14.3599,
FCRLA,14.3599,
FCRLB,14.3599,
RPL31P11,14.3599,
PDE8B,14.3568,
ZBED3-AS1,14.3568,
FMNL2,14.3447,
ATP5PB,14.3399,
C1orf162,14.3399,
CHIA,14.3399,
CHIAP2,14.3399,
OVGP1,14.3399,
PGCP1,14.3399,
PIFO,14.3399,
WDR77,14.3399,
MIR1281,14.3396,
RBX1,14.3396,
SNORD140,14.3396,
LINC01378,14.3323,
BMPER,14.3304,
LINC00359,14.3214,
OXGR1,14.3214,
PTGER4,14.3148,
TTC33,14.3148,
ERG,14.2955,
ABI1,14.2879,
FAM238B,14.2879,
PDSS1,14.2879,
GABPB1,14.2813,
GABPB1-AS1,14.2813,
GABPB1-IT1,14.2813,
MIR4712,14.2813,
USP50,14.2813,
USP8,14.2813,
ADH1A,14.2661,
ADH1B,14.2661,
ADH1C,14.2661,
ADH7,14.2661,
LOC100507053,14.2661,
DPY19L3,14.2628,
LOC400684,14.2628,
ZNF507,14.2628,
MCC,14.2621,
YTHDC2,14.2621,
FAM222A,14.2461,
FAM222A-AS1,14.2461,
GIT2,14.2461,
GLTP,14.2461,
MIR4497,14.2461,
TCHP,14.2461,
TRPV4,14.2461,
LINC01533,14.2283,
COLGALT1,14.2184,
FAM129C,14.2184,
LOC100507551,14.2184,
MVB12A,14.2184,
NXNL1,14.2184,
PGLS,14.2184,
SLC27A1,14.2184,
TMEM221,14.2184,
UNC13A,14.2184,
FGF19,14.2177,
FGF3,14.2177,
FGF4,14.2177,
METRNL,14.2074,
SMOC1,14.2059,
CACNA1B,14.1972,
EHMT1,14.1972,
LOC100133077,14.1972,
LOC105376331,14.1972,
LOC651337,14.1972,
MIR602,14.1972,
CFAP46,14.1645,
INPP5A,14.1645,
NKX6-2,14.1645,
EFCAB2,14.146,
KIF26B,14.146,
KIF26B-AS1,14.146,
SGCD,14.1439,
ANKRD30BP3,14.1278,
MIR3156-1,14.1278,
OR13A1,14.1278,
RSU1P2,14.1278,
GPRIN3,14.1224,
C17orf75,14.1221,
MIR632,14.1221,
RHBDL3,14.1221,
RHOT1,14.1221,
ZNF207,14.1221,
C10orf25,14.115,
DEPP1,14.115,
RASSF4,14.115,
TMEM72,14.115,
TMEM72-AS1,14.115,
ZNF22,14.115,
F2R,14.0961,
F2RL2,14.0961,
LOC101929109,14.0961,
NCRUPAR,14.0961,
SHISA9,14.0719,
C9orf131,14.0515,
FAM214B,14.0515,
FANCG,14.0515,
PIGO,14.0515,
STOML2,14.0515,
UNC13B,14.0515,
VCP,14.0515,
LINC01671,14.0442,
PDE9A,14.0442,
SLC37A1,14.0442,
STK32B,14.0409,
CUX2,14.0409,
MIR6760,14.0409,
PHETA1,14.0409,
HAAO,13.9778,
MTA3,13.9778,
OXER1,13.9778,
MIR8054,13.9715,
CFAP20,13.9527,
CSNK2A2,13.9527,
MMP15,13.9527,
USB1,13.9527,
ZNF319,13.9527,
CARD6,13.9109,
LOC100506548,13.9109,
PRKAA1,13.9109,
RPL37,13.9109,
SNORD72,13.9109,
HAND1,13.9109,
MIR3141,13.9109,
SAP30L,13.9109,
SAP30L-AS1,13.9109,
LINC02573,13.9008,
COL6A2,13.8873,
FTCD,13.8873,
FTCD-AS1,13.8873,
LSS,13.8873,
MCM3AP,13.8873,
MCM3AP-AS1,13.8873,
SNORD159,13.8873,
SPATC1L,13.8873,
CELF4,13.8864,
SNORA111,13.8864,
B2M,13.8595,
LOC100419583,13.8595,
SORD2P,13.8595,
TRIM69,13.8595,
DTWD1,13.8358,
FAM227B,13.8358,
KCNC3,13.8295,
MYH14,13.8295,
NAPSA,13.8295,
NAPSB,13.8295,
DOK5,13.816,
DNAH9,13.8153,
OVCH1,13.8141,
OVCH1-AS1,13.8141,
TMTC1,13.8141,
TSSK1B,13.8086,
ARID1B,13.7812,
ARHGEF28,13.7769,
LINC01550,13.7587,
LEUTX,13.7397,
LOC105372028,13.727,
AIPL1,13.7059,
PIMREG,13.7059,
PITPNM3,13.7059,
ATL3,13.6895,
HRASLS2,13.6895,
HRASLS5,13.6895,
LGALS12,13.6895,
PLA2G16,13.6895,
RARRES3,13.6895,
CPE,13.6701,
MIR578,13.6701,
MSMO1,13.6701,
CCN4,13.6518,
NDRG1,13.6518,
SLA,13.6518,
TG,13.6518,
ENDOG,13.6476,
LOC100506100,13.6476,
MIR1268A,13.6476,
PKN3,13.6476,
SET,13.6476,
SPOUT1,13.6476,
SPTAN1,13.6476,
TBC1D13,13.6476,
WDR34,13.6476,
ZDHHC12,13.6476,
ZER1,13.6476,
MIR6073,13.6455,
SOX6,13.6455,
LOC101927987,13.6299,
LOC100130673,13.624,
PDE1C,13.624,
LINC00298,13.6097,
LINC00299,13.6097,
LOC101929551,13.6097,
SLC44A5,13.6093,
C2orf70,13.6058,
CIB4,13.6058,
DRC1,13.6058,
OTOF,13.6058,
CAPS2,13.5953,
KCNC2,13.5953,
LOC100130268,13.5953,
LINC02005,13.5896,
MB21D2,13.5829,
ARHGAP19,13.5828,
ARHGAP19-SLIT1,13.5828,
SLIT1,13.5828,
SLIT1-AS1,13.5828,
ARL5C,13.5656,
CACNB1,13.5656,
LINC02079,13.5656,
LRRC37A11P,13.5656,
PLXDC1,13.5656,
RDM1P5,13.5656,
RPL19,13.5656,
STAC2,13.5656,
PTP4A3,13.5619,
CHST8,13.5608,
SNORD28B,13.558,
NEBL,13.5473,
ETV6,13.5256,
MIR2276,13.5206,
SPATA13,13.5206,
ATP13A1,13.5173,
LINC00663,13.5173,
ZNF101,13.5173,
ZNF14,13.5173,
ZNF506,13.5173,
ZNF56,13.5173,
LRGUK,13.5172,
BNIP3L,13.5152,
DPYSL2,13.5152,
PNMA2,13.5152,
PPP2R2A,13.5152,
SDAD1P1,13.5152,
PRKACB,13.512,
SAMD13,13.512,
DENND4A,13.511,
RAB11A,13.511,
LOC100128988,13.4731,
BAZ1A,13.4731,
SATB1-AS1,13.4564,
LOC157273,13.4524,
LOC730338,13.4483,
TSPAN11,13.4394,
AMPH,13.4354,
FAM183BP,13.4354,
VPS41,13.4354,
PRDM2,13.4288,
DENND6B,13.3781,
HDAC10,13.3781,
MAPK11,13.3781,
MAPK12,13.3781,
PLXNB2,13.3781,
PPP6R2,13.3781,
SELENOO,13.3781,
TRABD,13.3781,
TUBGCP6,13.3781,
ABR,13.3493,
MIR3183,13.3493,
NXN,13.3493,
TIMM22,13.3493,
DHH,13.339,
KMT2D,13.339,
LMBR1L,13.339,
RHEBL1,13.339,
TUBA1A,13.339,
TUBA1B,13.339,
TUBA1C,13.339,
MIR551B,13.3253,
LINC01813,13.3195,
MIR216A,13.3195,
MIR216B,13.3195,
MIR217,13.3195,
MIR217HG,13.3195,
ID4,13.3144,
LOC100506885,13.3144,
LINC00609,13.3144,
CRYZ,13.3048,
TYW3,13.3048,
C11orf87,13.2843,
C1R,13.2821,
C1RL,13.2821,
C1RL-AS1,13.2821,
CLSTN3,13.2821,
PEX5,13.2821,
RBP5,13.2821,
LARP1,13.2675,
MIR1303,13.2675,
DNAJC8,13.2602,
EYA3,13.2602,
PTAFR,13.2602,
LINC00032,13.2562,
TEK,13.2562,
DHRS9,13.2561,
PTER,13.2379,
GPR139,13.206,
GC,13.1848,
JAK2,13.1818,
RCL1,13.1818,
LOC105377975,13.1686,
MIR3144,13.1686,
DCPS,13.1634,
GSEC,13.1634,
KIRREL3,13.1634,
ST3GAL4,13.1634,
PLCB1,13.1605,
HK1,13.1562,
HKDC1,13.1562,
LOC101928994,13.1562,
SRGN,13.1562,
SUPV3L1,13.1562,
VPS26A,13.1562,
ZFHX3,13.1497,
C4orf19,13.1099,
RELL1,13.1099,
DDO,13.0998,
METTL24,13.0998,
SLC22A16,13.0998,
BTBD17,13.0998,
DNAI2,13.0998,
GPR142,13.0998,
KIF19,13.0998,
TTYH2,13.0998,
TMPRSS11A,13.085,
TMPRSS11D,13.085,
LINC01724,13.0763,
LINC01317,13.0606,
LINC01318,13.0606,
ACOXL,13.0533,
C1orf87,13.0368,
SYK,13.0349,
LINC00877,13.0264,
BCAS1,13.0236,
MIR4756,13.0236,
ADAMTSL4,13.0102,
ADAMTSL4-AS1,13.0102,
ECM1,13.0102,
ENSA,13.0102,
FALEC,13.0102,
MCL1,13.0102,
MIR4257,13.0102,
MIR6878,13.0102,
RPRD2,13.0102,
TARS2,13.0102,
IKZF1,13.0053,
SPATA48,13.0053,
COQ2,13.0053,
HELQ,13.0053,
HPSE,13.0053,
ARMH4,13.0027,
CNOT7,12.9874,
MICU3,12.9874,
MTMR7,12.9874,
VPS37A,12.9874,
ZDHHC2,12.9874,
CHP2,12.9868,
PRKCB,12.9868,
CHMP4A,12.9413,
DCAF11,12.9413,
EMC9,12.9413,
FITM1,12.9413,
GMPR2,12.9413,
IPO4,12.9413,
IRF9,12.9413,
MDP1,12.9413,
MIR7703,12.9413,
NEDD8,12.9413,
NEDD8-MDP1,12.9413,
NRL,12.9413,
PCK2,12.9413,
PSME1,12.9413,
PSME2,12.9413,
RABGGTA,12.9413,
REC8,12.9413,
RNF31,12.9413,
TGM1,12.9413,
TINF2,12.9413,
TM9SF1,12.9413,
TSSK4,12.9413,
SBSPON,12.9284,
TERF1,12.9284,
GALNTL6,12.9235,
LINC00550,12.89,
ARRDC3,12.8866,
ARRDC3-AS1,12.8866,
MIR8056,12.8778,
STC2,12.8778,
TRIML1,12.8619,
TRIML2,12.8619,
JPH2,12.8543,
OSER1,12.8543,
OSER1-DT,12.8543,
TOX2,12.8543,
CEP89,12.8527,
FAAP24,12.8527,
RHPN2,12.8527,
CYFIP2,12.8413,
FAM71B,12.8413,
FNDC9,12.8413,
ITK,12.8413,
ANKRD46,12.8305,
MIR4471,12.8305,
C14orf39,12.8247,
LINC02322,12.8247,
PPM1A,12.8247,
CTNND2,12.8228,
LINC02085,12.8228,
NFKBIZ,12.8228,
LINC00593,12.8226,
ZNF385D-AS2,12.805,
GTF2H5,12.8033,
SERAC1,12.8033,
SYNJ2,12.8033,
SYNJ2-IT1,12.8033,
LOC101927770,12.8033,
LOC105372672,12.8033,
ZNF217,12.8033,
CERCAM,12.7993,
GLE1,12.7993,
ODF2,12.7993,
MFSD9,12.7786,
SLC9A2,12.7786,
TMEM182,12.7786,
LOC101927630,12.7739,
FHIT,12.7517,
LOC339902,12.7517,
ADCY5,12.751,
HACD2,12.751,
CCDC58,12.7408,
CSTA,12.7408,
FAM162A,12.7408,
KPNA1,12.7408,
LOC102723582,12.7408,
PARP9,12.7408,
WDR5B,12.7408,
ATP2B2-IT2,12.7302,
IGHMBP2,12.7295,
MIR3164,12.7295,
MRGPRD,12.7295,
MRGPRF,12.7295,
MRGPRF-AS1,12.7295,
TPCN2,12.7295,
ARMC3,12.7281,
MSRB2,12.7281,
CCDC84,12.7274,
HYOU1,12.7274,
RPL23AP64,12.7274,
RPS25,12.7274,
SLC37A4,12.7274,
TRAPPC4,12.7274,
VPS11,12.7274,
B3GNT5,12.7127,
LAMP3,12.7127,
MCCC1,12.7127,
MCF2L2,12.7127,
TBX3,12.7116,
TSEN15,12.7094,
DNAJB5,12.7034,
DNAJB5-DT,12.7034,
FAM205C,12.7034,
PHF24,12.7034,
LOC105369747,12.6936,
MIR4698,12.6936,
PCED1B,12.6936,
PCED1B-AS1,12.6936,
FGA,12.6617,
FGB,12.6617,
FGG,12.6617,
PLRG1,12.6617,
ADORA3,12.6454,
TMIGD3,12.6454,
LOC613266,12.6452,
MACROD2,12.6452,
NR2E1,12.6279,
OSTM1,12.6279,
OSTM1-AS1,12.6279,
LOC101927815,12.6215,
EQTN,12.6173,
BPIFA1,12.6127,
BPIFA3,12.6127,
BPIFB1,12.6127,
CDK5RAP1,12.6127,
SNTA1,12.6127,
CRISPLD2,12.5951,
USP10,12.5951,
FAM19A4,12.5942,
OCA2,12.567,
FAR2,12.5532,
LOC100506606,12.5532,
B3GNT4,12.5527,
DIABLO,12.5527,
IL31,12.5527,
LOC101593348,12.5527,
LRRC43,12.5527,
MLXIP,12.5527,
VPS33A,12.5527,
CYP2C19,12.5493,
CYP2C9,12.5493,
RORA,12.547,
CABLES1,12.5462,
LHX8,12.5346,
LINC01377,12.5336,
IQCB1,12.5162,
ARHGAP23,12.5108,
SOCS7,12.5108,
SRCIN1,12.5108,
ADAMTS15,12.5103,
ADAMTS8,12.5103,
KIF13A,12.5087,
LOC105374952,12.5087,
NUP153,12.5087,
KCNMA1,12.5072,
KCNMA1-AS3,12.5072,
GABRB2,12.4813,
ANKS1B,12.4722,
MIR4675,12.4705,
MIR1258,12.4598,
ZNF385B,12.4598,
ARHGEF19,12.4459,
CPLANE2,12.4459,
EPHA2,12.4459,
CHD5,12.4394,
KCNAB2,12.4394,
NPHP4,12.4394,
SPRY4-AS1,12.4041,
CDH23,12.3865,
CDH23-AS1,12.3865,
HS6ST3,12.3861,
MIR4501,12.3861,
COL26A1,12.3791,
IFT22,12.3791,
LNCPRESS1,12.3791,
LOC101927746,12.3791,
CD40,12.3791,
CDH22,12.3791,
MMP9,12.3791,
NCOA5,12.3791,
SLC12A5,12.3791,
SLC12A5-AS1,12.3791,
SYNE1,12.3771,
KCNH7,12.362,
LOC101929570,12.362,
ARNT2,12.3535,
LINC00927,12.3535,
GUCY1A2,12.339,
ACHE,12.3205,
MIR6875,12.3205,
SLC12A9,12.3205,
SLC12A9-AS1,12.3205,
SRRT,12.3205,
TRIP6,12.3205,
UFSP1,12.3205,
GALNT10,12.3205,
MIR1294,12.3205,
ATG2B,12.3205,
BDKRB1,12.3205,
BDKRB2,12.3205,
C14orf132,12.3205,
PLXDC2,12.294,
TMEM30B,12.2932,
SLC4A10,12.2893,
ADGRL2,12.2748,
FOXO3,12.2747,
LINC00222,12.2747,
DOCK4,12.2743,
ZNF277,12.2743,
IGFN1,12.2606,
PKP1,12.2606,
TMEM9,12.2606,
LMO7,12.2601,
LMO7-AS1,12.2601,
CSMD1,12.2465,
IPO8,12.2438,
EDN2,12.2396,
HIVEP3,12.2396,
ARSB,12.2191,
LHFPL2,12.2191,
PEPD,12.2094,
COX6A2,12.2016,
ITGAD,12.2016,
ITGAM,12.2016,
ITGAX,12.2016,
ZNF843,12.2016,
LINC00486,12.2006,
TTC27,12.2006,
MATR3,12.195,
SIL1,12.195,
SNHG4,12.195,
SNORA74A,12.195,
SNORA74D,12.195,
C11orf24,12.1942,
LRP5,12.1942,
PPP6R3,12.1942,
CCDC113,12.1534,
CCDC30,12.1475,
CLDN19,12.1475,
P3H1,12.1475,
PPIH,12.1475,
YBX1,12.1475,
LINC00968,12.1447,
LOC101929415,12.1447,
PENK,12.1447,
EAF2,12.1281,
ILDR1,12.1281,
SLC15A2,12.1281,
DLGAP2,12.1275,
ERICH1,12.1275,
LOC401442,12.1275,
LOC728095,12.1259,
SLIT3,12.1259,
NKAIN2,12.1217,
BCKDK,12.1137,
HSD3B7,12.1137,
KAT8,12.1137,
PRSS36,12.1137,
PRSS53,12.1137,
PRSS8,12.1137,
SETD1A,12.1137,
STX1B,12.1137,
STX4,12.1137,
VKORC1,12.1137,
ZNF646,12.1137,
ZNF668,12.1137,
GLUL,12.0798,
LINC00272,12.0798,
RGSL1,12.0798,
TEDDM1,12.0798,
LINC02254,12.0548,
CHMP4B,12.0473,
PXMP4,12.0473,
ZNF341,12.0473,
ZNF341-AS1,12.0473,
MIR7110,12.0462,
PDIA5,12.0462,
SEC22A,12.0462,
ETNK1,12.0384,
AQP2,12.0351,
AQP5,12.0351,
AQP6,12.0351,
BCDIN3D,12.0351,
BCDIN3D-AS1,12.0351,
FAIM2,12.0351,
LINC02395,12.0351,
LINC02396,12.0351,
LOC101927318,12.0351,
NCKAP5L,12.0351,
