CHST11,ANKRD13D,ATXN2L,FAM9C,ADORA2B,PTEN,CYP2E1 , GNA14 GNAQ ,C12orf51,BBC3,U6 RP4-756G23.5 RANGAP1 ZC3H7B TEF CHADL L3MBTL2 ,TCIRG1 ,ANKRD1,SLC30A9,ACADM RABGGTB MSH4 ,NR1H3,ALDOC,C17orf64 APPBP2,DENND2D,,SNHG6 ,PRKAA1,EPAS1,TAF3,AQP3,ADRA1B,FLT1,, DGKD, LIPE,ADAMTSL5,USP7,Epas1,VEGF,CIC,PIK3CA,CIC,CTNNA2,,LDHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPS5,ANKRD36,B3GNTL1,LRRC3B,ADRB1,ADAM12,HMOX2 , GRIK2 ,C12orf52,BMP7,AP005273.1 AP006288.1 SLC22A12 SLC22A11 NRXN2 AP003774.4 AP003774.5 ,TRIM56 ,ANPEP,COL6A2 FTCD C21orf 56 COL6A1,ACER1 CLPP ALKBH7 PSPN GTF2F1 KHSRP SLC25A41 SLC25A23 CRB3 DENND1C ,KIAA0101,ANG,CDKL5,DNM1P46,,MCMDC2 ,PTGIS,FILIP1,NUTM2B,SLC2A8,ARNT,HIF1A,, GAD, PAFAH1B3,ADCK5,RBM38,Ncam1,ALDOA,CYP17A1,AKT3,CORO1B,EXOC6B,,AK3L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNE4,APBB1IP,BVES,KRTAP21-2,ADRB2,AKT3,ANGPTL4 , GRM7 ,CCDC42B,BNIP3,MRPL49 CAPN1 HIGD1AP10 FAU TM7SF2 PGAM1P8 AP003068.9 ZFPL1 AP003068.17 SPDYC AP003068.18 CDCA5 AP003068.23 SNX15 SLC22A20 SAC3D1 NAALADL1 AP003068.12 AP003068.6 U2 ZNHIT2 SYVN1 C11orf2 ,PRKG1,ANXA1,ACAN,ACO1 DDX58 TOPORS NDUFB6 ,ZNF609,ANGPT2,CHRDL1,DOK6,,SNORD87 ,SLC52A3,GMCL1P1,C10orf99,MYOCD,CASR,IGFBP1,, GAD2, CBARA1,ADM2,APLF,Ptprz1,ENO1,CYP2E1,PIK3C2G,CUL3,IGHMBP2,,BHLHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXCR4,APOH,C11orf64,HIST1H2BE,AGTR1,ANK3,PPARA , GUSBL2 ,CCDC63,CA9,RP3-354N19.3 FAM184A MAN1A1 RP3-354N19.1 ,CBS,APEX1,ADAL,ACPL2 SPSB4 ,ACP2,ANGPT4,CIC PAFAH1B3 PRR19 TMEM145 MEGF8 CNFN LIPE CXCL17,DROSHA,,ANTXRL ,VDR,GSTA4,HOGA1,CHRNA4,COPS5,IGFBP2,, GDNF, ARNT2,ADPRM,NT5C2 ,Sesn3,LDHA,EDNRA,PIK3C2B,ECE1,IGHMBP2,,IGFBP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDN1,ARID1B,C12orf26,TTLL3,AKT1,BLOC1S2,TGFBR3 , HIST1H3G HIST1H2BI HIST1H4H BTN3A2 BTN2A2 ,CUX2,CBS,PLXNA4 AC018643.4 ,EPO,APOA4,ADAM17,ACPL2 ZBTB38 ,BHLHE41,ANGPTL4,CNR2,ENSA,,ANTXRLP1 ,SHARP ,HLA-DPA2 HLA-DPB1,OR4C3,ADAM8,EDN1,IL1A,, GRB14, THRB,ADRM1,NT5DC3,Mtdh,REST,EDNRB,PIK3R3,EDNRA,KMT2C,,BNIP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
EDNRA,ARID4A,C13orf38-SOHLH2,HIST1H4B,AKT2,CDH23,GCH1 , HK1 ,DDX54,CCNB1,STC2 RPL7AP33 U6 AC106731.1 AC008412.1 Y_RNA 5S_rRNA NKX2-5 ,,AQP1,AKAP13,ADAL ZSCAN29 TUBGCP4 TP53BP1 MAP1A ,SHE,APOLD1,COMMD3 BMI1 SPAG6,EPHA3,,PRDM1 ,FAM5C,Intergenic,TRIM48,DDAH1,EGLN1,IL1B,, HLA-DQ, EDNRB,AGRN,RNF41,Drd2,PPARA,EGLN1,NGLY1,EGLN1,LOC284801,,C3ORF28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGLN1,ASCL5,C14orf135,ACVR1B,AKT3,CHUK,PIK3R1 , ITSN1 ATP5O ,DTX1,CD34,PANK4 RP13-436F16.1 RP3-395M20.9 MMEL1 RP3-395M20.3 RP3-395M20.8 TTC34 RP3-395M20.7 RP3-395M20.2 PLCH2 C1orf93 TNFRSF14 HES5 ,,ARG1,APOBEC4,ADAL ZSCAN29 TUBGCP4 TP53BP1 MAP1A PPIP5K1 ,DDX5,AQP1,DKFZp686D0853,FBXL19-AS1,,COL21A1 ,,MCMDC2,SCGB1D2,STC2,EGLN3,IL6,, INSIG2,EPAS1,AKR1B1,CARNS1,Lrp1,HBB,EPAS1,PIK3CB,EGLN1,LOC284801,,ZNF395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGLN2,ATG2B,C14orf184,FXYD6,ALB,CLIC4,, KCNJ6 ,ERP29,CITED2,MACROD1 RP11-21A7A.3 RP11-21A7A.4 STIP1 FLRT1 DNAJC4 RP11-21A7A.2 NUDT22 TRPT1 FERMT3 RP11-783K16.14 ,,ARNT,APOH,ADAM30 NOTCH2 ,DKK4,ARNT,EPS8,GLIS2,,MBD4 ,,MIR3681HG SNORD18,SCGB2A2,APOLD1,EPAS1,EDNRA,, ITGB8, EGLN1,ALG6,FEN1,Msh3,HBG2,HBB,PIK3C3,ELTD1,LOC284801,,CCNG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELF2,ATP6V0D2,C16orf54,NAGLU,ALDH2,CNIH3,, LOC441168 C6orf188 C6orf78 ,FAM109A,CREBBP,AC133680.1 ,,ATP6AP2,AQR,ADAMTS9 ,VDAC3,ARNT2,FAM59B HADHA,GRPR,,IFT122 ,,MIR4519 BCL7C MIR762HG AC106782.20,RAD9A,PPARGC1A,,EDNRB,, KLF15, PPARA,ALOX12B,FKB1A,Tirap,HFE,HFE,PIK3CD,EPAS1,LOC284801,,ALKBH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERBB4,BRCA2,C19orf61,MDH1B,ALDOC,DAB1,, LPHN2 ,GPN3,CUL2,FTLP10 TMPRSS11BNL RP11-642E20.3 RP11-642E20.5 RP11-642E20.2 RP11-453E17.3 YTHDC1 TMPRSS11B RP11-642E20.4 ,,ATP7A,ATF7,AKAP7 ,POLB,ASCL2,FRMD4B,IMPG1,,EFCAB12 ,,NPSR1,TAS2R43,VEGFB,,EGLN1,, MEF2, SLC52A3,ALOXE3,ITSN2,Mgarp,PKLR,HIF1A,TXN,ET-1,LOC284801,,ANKZF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERG,BX088651.2,C21orf131,OR6Y1,ANG,DHTKD1,, MAPKAPK2 ,HVCN1,E2F1,BNIP1 ATP6V0E1 CTC-209H22.2 SNORA74B CTC-308K20.3 CTC-308K20.4 Y_RNA CTC-209H22.3 C5orf41 ,,BACH1,C13orf27,AKT3 ,EPGN,ATP1B1,FRYL,IRX3,,RPL32P3 ,,PPM1B,KNTC1,ASCL2,,EGLN2,, mir-133, EDNRA,ALYREF,CHST1,Tnfsf10,CYP17A1,HMBS,NPPA,FAM213A,LOC284801,,BCKDHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F13A1,C10orf112,CABIN1,HBB,ANGPT1,DISC1,, MCPH1 ,IFT81,EGLN1,GBAP1 TRIM46 SLC50A1 KRTCAP2 DPM3 RP11-263K19.4 RP11-307C12.11 HMGN2P18 MTX1 ADAM15 MIR92B MUC1 RP11-540D14.8 RP11-540D14.6 DCST1 DCST2 RP11-263K19.6 EFNA3 THBS3 EFNA1 EFNA4 U7 Y_RNA ,,BAD,C1QL3,ALDH1A1 ANXA1 ,POLG2,BCL2,GPM6A,LDB2,,SNORA7B ,,PRR13P5,IL26,VEGFC,,ELF2,, N-cor, PTEN,ANAPC11,WDFY4,Col5a3,HMOX2,HMOX2,MYC,FOXO1,LRP5,,BCL2L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F13A1,C1orf50 RP5-994D16.9,CADM2,OTX1,ANGPTL4,EXOC8,, NLGN1 ,IQCD,EGLN2,PTPRO EPS8 ,,BBC3,C3orf22,ANAPC16 DDIT4 DNAJB12 CBARA1 ,ADH1B,BIRC2,HDAC1 MARCKSL1,LHX3,,ZNF492 ,,RNA5SP485 WFDC8,CENPJ,UCN3,,IGFBP1,, Nfat , ANGPTL4,ANKAR,IL4RA,Foxo1,HLa-DQB1,HYOU1,LOXL2,HLA-DRA,LRP5,,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM107B,C6orf1,CCDC138,MBNL1,APOE,FRG2B,, NRXN1 ,LHX5,EGLN3,RP11-191L9.5 RP11-191L9.4 RP11-191L9.6 ,,BMP7,C6orf142,ANK2 ,GMFG,BMP2,IL1RAPL1,LRP6,,ZNF99 ,,RP11-624L4.1,ACOT2,PSMA6,,IGFBP2,, Nr1 h, Cyp17A1,ANKRD52,,Rap1b,HLA-DPB1,LEP,HYOU1,HMOX2,LRP5,,CRKL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCHO2,CASR,CCDC36,IFI27L1,APOLD1,HBD,, NUDT3 ,MAPKAPK5,EGR1,AC099552.4 AC093726.4 HTR5A AC092628.3 AC099552.3 7SK ,,BNIP3,C6orf146,ANKRD32 MCTP1 ,ZEB1,BNIP3,ITSN2,LTBP2,,ZNF723P ,,SEMA3A,ZC3H18,CD34,,IL1A,, PSMB1, CYP2E1,ANKRD65,,Pik3c3,ANKH,LIPE,BMP7,KCTD12,LRP5,,DARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAP1,CCDC101,CCT6P1,C18orf55,ARG2,ITPKB,, OAS1 OAS3 OAS2 ,MYL2,EP300,ERVH48-1 AP001630.5 WDR4 AP001628.6 PKNOX1 AP001630.1 NDUFV3 AP001628.7 MX2 ,,CA9,C9orf3,ANKRD9 RCOR1 ,TDRD10,CA9,KCTD16,LTBP4,,OR8S1 ,,SGCZ,PYCR1,ABAT,,MDM2,, PTF1A, HMOX2,AP3D1,,Siah2,ZNF532,MMP2,ERCC2,LEPR,MRC1,,GAPDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFRA1,CCDC40,CD3E,RFX3,ARNT,KLF6,, OR12D2 OR11A1 OR10C1 ,NAA25,EPAS1,LINC00202 C10orf52 YME1L1 ANKRD26 U6 ,,CAT,C9orf32,ANTXR1 GFPT1 ,MILR1,CAPN2,KIAA1210 PGRMC1,MN1,,C12orf54 ,,TRIM67,MYO5B,ADSL,,NOS1,, RNF139, CAMK2D,APC2,,Smad9,COL4A4,MTOR,PSMA5,LIPE,NDUFS8,,GBE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNA15,CD8A,CEP350,HBG2,ARNT2,LOC653544,, PAPOLG REL FLJ32312 PEX13 ,OAS1,EPO,SLCO1B3 SLCO1B7 RP11-545J16.1 ,,CBS,CAPZA3,ANXA10 DDX60 DDX60L ,BHLHE41,CASP1,L3MBTL4,MSH6,,ANP32D ,,TSNAX-DISC1,SERPINB7,RYR2,,NOS2,, Rxr, GRB2,ARHGAP39,,Mmp3,EDNRA,NMRAL1,ADIPOQ,MAPKAPK2,NGEF,,GPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP1,CD8B,CEP70,FANCA,ASCL2,LRRC20,, PDGFC ,OAS2,FABP1,PKHD1 AL121946.1 ,,CCNB1,CCDC141,AOAH ,CEP95,CAV1,MAN1C1,NCOR1,,ZNF641 ,,VWA8,RTTN,STC1,,NRP1,, SIM1, ANKH,ARHGEF15,,Ndn,PRKAA1,NOS1,PSMB4,NOS2,OSBPL10,,HIG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP2,CHCHD3,CHD6,HIST1H3C,ATG5,MBL2,, PGM5 ,OAS3,FAM162A,AP003419.11 ADRBK1 ANKRD13D SSH3 RPS6KB2 AP003419.16 7SK POLD4 TBC1D10C KDM2A CARNS1 AP003419.15 U6 CLCF1 PPP1CA RAD9A ,,CCS,CCDC46,APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOBEC3H CBX7 ,,CCL2,MID1,NPAS3,,MIR6505 ,,ASIC2,ZNF236,TXN2,,NRP2,, SLC32A1, RP11-384F7.2,ASIP,,Pck1,VEGFB,PAFAH1B3,NF1,PAFAH1B3,OSBPL10,,HK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,CHD7,CLEC6A,TMEM206,ATP1B1,NCRNA00081,, PHACTR1 ,PLBD2,FMN2,EIF4A1 SNORD10 TP53 Y_RNA SNORA67 SOX15 TNFSF12-TNFSF13 SENP3 TNFSF13 WRAP53 CD68 SHBG TNFSF12 snoU13 POLR2A MPDU1 SNORA48 AC007421.1 ATP1B2 FXR2 AC113189.5 SAT2 ,,CD34,CD37,APOBEC3D APOBEC3F APOBEC3G APOBEC3H CBX7 ,EBLN1,CCNB1,MIR505,NPNT,,ASB8 ,,BACH2,PPAN,DRD2,,PDGF2,, SPOCD1, HLA-DQB1 HLA-DPB1,ASNSD1,,Pin1,ELTD1,PAPSS2,PCK1,PPARA,PCSK5,,INHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,CHMP3,CNNM1,SPTA1,BCL2,OR10J5,, PHOSPHO1 FLJ40194 ZNF652 ,PPP1CC,FNDC1,RP11-10A2.1 ,,CD36,CDK5R1,ARHGAP33 PRODH2 NPHS1 COX6B1 UPK1A ZBTB32 TMEM149 U2AF1L4 PSENEN LIN37 HSPB6 C19orf55 ,nucleoprotein,CD24,NHS,RIN3,,SENP1 ,,BAZ2B,PSG4,CHCHD2,,PGF,, STMN2, ZNF532,ASPSCR1,,Fstl3,BRINP3,PKLR,SLC8A3,PRKAA1,POTEE,,INSIG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,CLIC4,CNR2,TMSB4X,BCL2L1,OR51B4,, PIK3R1 ,PPTC7,GATA6,ABI1 PDSS1 U6 RP13-16H11.5 snoU13 SNORA57 RP13-16H11.6 ,,CDK1,CENPP,ARHGEF2 SSR2 UBQLN4 LAMTOR2 RAB25 MEX3A LMSEMA4A ,ADH6,CD38,ODZ1,SEMA3D,,PFKM ,,BLOC1S5-TXNDC5,C19orf84,KCNA5,,PIK3CB,, TCL1A, KCTD12,ATAD3A,,Zmat3,NOS2,PPARA,BACH1,PTGIS,PPP2R2C,,JMJD1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPP5D,CNTNAP3B,CNTNAP2,HFE,BIRC2,OR51M1,, PIP5K1B ,PTPN11,GNB1,AL133510.1 RP11-193H22.2 ZDHHC14 ,,CDK2,CPT1C,ARL8B EDEM1 ,DDX5,CHRNA4,PAK3,SLC14A2,,COL2A1 ,,CDH13,LPPR3,SRF,,IL1B,, ULBP1, VDR,ATP9B,,Nov,TBX5,PPARG,KCNMA1,RUNX1,PPP6R3,,KIAA0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK10,COL21A1,COL21A1,ACVRL1,BNIP3,PAX2,, PRDM16 ARHGEF16 ,RAD9B,GNGT1,U6 MAN1A1 ,,CITED2,CRMP1,ARNT2 ,POLG2,CHRNA7,PDE7B FAM54A,SMTN,,CCDC184 ,,CETP,FOXD4L1,RBX1,,IL6,, WRB, PTGIS,ATPAF2,,Hmbs,SENP1,PRKAA1,PSMA7,RYR1,PPP6R3,,KIAA1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK2,COL8A2,CPPED1,,CA9,PAX7,, PRIM2A ,RASAL1,HIF1A,RP11-386D6.2 CNBD1 ,,CMA1,CRYZ,ARRDC4 ,VPS36,CHRNB2,PPM1D,SV2A,,RPS24 ,,COL4A4,ALPP,PIN1,,KCNMA1,,ACSL1, COL4A4,AURKAIP1,,Cdk4,ANP32D,RYR2,SCAP,SFTPD,PPP6R3,,LOC401152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK2,COL9A2,CTPS,,CABC1,PRDM2,, PRKCE ,RBM19,HIF1AN,STARP1 ,,CPA3,CTDSPL,ASCC3 ,homolog,CITED2,SHROOM4,TEKT5,,POLR3A ,,CRIPT,ALPP,PSMB5,,MDM2,, BMPR1A, MKL1,AURKB,,Eif2a,FAM213A,SENP1,UCN3,TBX5,PRIM2,,NARF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCNK5,CPT2,DDAH1,,CALCA,RPS24,, PRKCE EPAS1 ATP6V1E2 RHOQ PIGF CRIPT ,RPH3A,HIF3A,CD19 SH2B1 AC109460.2 TUFM ATP2A1 AC145285.1 LAT ATXN2L RP11-1348G14.1 NFATC2IP SNORA43 SPNS1 RABEP2 ,,CREBBP,CYP7B1,ASTN2 ,ADH1A,CLDN3,SLC24A5 MYEF2 CTXN2 SLC12A1,TRIP11,,CNTLN ,,CTD-2509G16.1,ALPI,FIS1,,MMP2,, Caspase 3 7, HBB,B3GALT6,,Col18a1,SFTPD,SOD2,KCND2,TED,PRIM2,,NCOA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIAA1026,DARS,DDB1,,CALCB,RSU1,, RASGRF2 ,RPL6,HIPK2,SYNJ2 SERAC1 SYNJ2-IT1 GTF2H5 ,,CRYGD,CYTL1,ASTN2 TRIM32 ,CKAP2,CREBBP,SLC4A4,WNK1,,MC2R ,,CYFIP1,TMEM247,PSMB6,,MTOR,, Cbp p300,MTHFR,B3GAT1,,Fgf2,GPR126,TGFB1,EIF4EBP1,THRB,PRIM2,,NFE2L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
